BOX, BOX CONDITION, CMD, CMD CONDITION
US.ANA01000.BOX,null,US.ANA01001.CMD,null
US.ANA01000.BOX,null,US.ANA01002.CMD,null
US.ANA01001.BOX,s(US.ANA01000.BOX),US.ANA01002.CMD,s(US.ANA01511.CMD)
US.ANA01001.BOX,s(US.ANA01000.BOX),US.ANA01003.CMD,null
US.ANA01000.BOX,null,US.ANA01004.CMD,null
US.ANA01005.BOX,null,US.ANA01005.CMD,s(US.ANA01017.CMD)
US.ANA01006.BOX,null,US.ANA01006.CMD,null
US.ANA01009.BOX,s(US.ANA01066.BOX),US.ANA01009.CMD,null
US.ANA01001.BOX,s(US.ANA01000.BOX),US.ANA01010.CMD,null
US.ANA01066.BOX,s(US.ANA01056.BOX),US.ANA01011.CMD,null
US.ANA01066.BOX,s(US.ANA01056.BOX),US.ANA01012.CMD,null
US.ANA01066.BOX,s(US.ANA01056.BOX),US.ANA01013.CMD,null
US.ANA01066.BOX,s(US.ANA01056.BOX),US.ANA01014.CMD,null
US.ANA01066.BOX,s(US.ANA01056.BOX),US.ANA01015.CMD,null
US.ANA01005.BOX,null,US.ANA01017.CMD,null
US.ANA01001.BOX,s(US.ANA01000.BOX),US.ANA01018.CMD,null
US.ANA01006.BOX,null,US.ANA01019.CMD,null
US.ANA01056.BOX,s(US.ANA01004.BOX),US.ANA01020.CMD,null
US.ANA01011.BOX,s(US.ANA01001.BOX),US.ANA01029.CMD,s(US.ANA01071.CMD)
US.ANA01015.BOX,s(US.ANA01001.BOX),US.ANA01031.CMD,null
US.ANA01031.BOX,s(US.ANA01001.BOX),US.ANA01034.CMD,null
US.ANA01016.BOX,s(US.ANA01001.BOX),US.ANA01040.CMD,null
US.ANA01012.BOX,s(US.ANA01011.BOX),US.ANA01044.CMD,s(US.ANA01071.CMD)
US.ANA01013.BOX,s(US.ANA01012.BOX),US.ANA01051.CMD,s(US.ANA01071.CMD)
US.ANA01017.BOX,s(US.ANA01001.BOX),US.ANA01058.CMD,null
US.ANA01028.BOX,s(US.ANA01038.BOX),US.ANA01061.CMD,s(US.ANA01071.CMD)
US.ANA01035.BOX,s(US.ANA01040.BOX),US.ANA01062.CMD,null
US.ANA01033.BOX,s(US.ANA01001.BOX),US.ANA01063.CMD,null
US.ANA01003.BOX,s(US.ANA01001.BOX),US.ANA01066.CMD,null
US.ANA01017.BOX,s(US.ANA01001.BOX),US.ANA01069.CMD,s(US.ANA01058.CMD)
US.ANA01003.BOX,s(US.ANA01001.BOX),US.ANA01071.CMD,s(US.ANA01066.CMD)
US.ANA01017.BOX,s(US.ANA01001.BOX),US.ANA01072.CMD,s(US.ANA01069.CMD)
US.ANA01011.BOX,s(US.ANA01001.BOX),US.ANA01087.CMD,s(US.ANA01377.CMD)
US.ANA01015.BOX,s(US.ANA01001.BOX),US.ANA01089.CMD,s(US.ANA01031.CMD)
US.ANA01031.BOX,s(US.ANA01001.BOX),US.ANA01092.CMD,s(US.ANA01034.CMD)
US.ANA01016.BOX,s(US.ANA01001.BOX),US.ANA01096.CMD,s(US.ANA01040.CMD)
US.ANA01012.BOX,s(US.ANA01011.BOX),US.ANA01098.CMD,s(US.ANA01378.CMD)
US.ANA01028.BOX,s(US.ANA01038.BOX),US.ANA01104.CMD,s(US.ANA01344.CMD)
US.ANA01013.BOX,s(US.ANA01012.BOX),US.ANA01110.CMD,s(US.ANA01343.CMD)
US.ANA01033.BOX,s(US.ANA01001.BOX),US.ANA01115.CMD,s(US.ANA01063.CMD)
US.ANA01017.BOX,s(US.ANA01001.BOX),US.ANA01117.CMD,s(US.ANA01072.CMD)
